2.8,5.6,8.4,11.2,14,16.8,19.6,22.4,25.2,28,30.8,33.6,36.4,39.2,42,44.8,47.6,50.4,53.2,56,58.8,61.6,64.4,67.2,70,72.8,75.6,78.4,81.2,84,86.8,89.6,92.4,95.2,98,100.8,103.6,106.4,109.2,112,114.8,117.6,120.4,123.2,126,128.8,131.6,134.4,137.2,140,142.8,145.6,148.4,151.2,154,156.8,159.6,162.4,165.2,168,170.8,173.6,176.4,179.2
0.003435,0.003435,0.003435,0.003435,0.003435,0.003435,0.003435,0.003435,0.003435,0.003435,0.003435,0.003435,0.003435,0.003435,0.003435,0.003377,0.002905,0.002622,0.002386,0.00218,0.00218,0.001992,0.001756,0.001519,0.001285,0.001241,0.001241,0.001241,0.001241,0.001241,0.001241,0.001241,0.001241,0.001241,0.001241,0.001241,0.001241,0.001241,0.001241,0.001285,0.001519,0.001756,0.001992,0.00218,0.00218,0.002386,0.002622,0.002905,0.003377,0.003435,0.003435,0.003435,0.003435,0.003435,0.003435,0.003435,0.003435,0.003435,0.002935,0.002265,0.002265,0.002265,0.002265,0.002265
0.003161,0.003161,0.003161,0.003161,0.003161,0.003161,0.003161,0.003161,0.003161,0.003161,0.003161,0.003161,0.003161,0.003161,0.003161,0.003107,0.002673,0.002412,0.002195,0.002006,0.002006,0.001833,0.001616,0.001398,0.001182,0.001142,0.001142,0.001142,0.001142,0.001142,0.001142,0.001142,0.001142,0.001142,0.001142,0.001142,0.001142,0.001142,0.001142,0.001182,0.001398,0.001616,0.001833,0.002006,0.002006,0.002195,0.002412,0.002673,0.003107,0.003161,0.003161,0.003161,0.003161,0.003161,0.003161,0.003161,0.003161,0.003161,0.002629,0.001917,0.001917,0.001917,0.001917,0.001917
0.002676,0.002676,0.002676,0.002676,0.002676,0.002809,0.002908,0.002908,0.002908,0.002908,0.002908,0.002908,0.002908,0.002908,0.002908,0.003389,0.007293,0.010486,0.013494,0.0161,0.0161,0.018578,0.021626,0.024633,0.027641,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.0282,0.027641,0.024633,0.021626,0.018578,0.0161,0.0161,0.013494,0.010486,0.007293,0.003389,0.002908,0.002908,0.002908,0.002908,0.002908,0.002908,0.002908,0.002908,0.002908,0.002358,0.001623,0.001623,0.001623,0.001623,0.001623
0.002265,0.002265,0.002265,0.002265,0.002265,0.015278,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025834,0.032602,0.036625,0.039969,0.0429,0.0429,0.04562,0.049004,0.052388,0.055771,0.0564,0.0564,0.0564,0.0564,0.0564,0.0564,0.0564,0.0564,0.0564,0.0564,0.0564,0.0564,0.0564,0.0564,0.055269,0.049178,0.043087,0.037036,0.0322,0.0322,0.026923,0.020873,0.014014,0.003919,0.002676,0.002676,0.002676,0.002676,0.002676,0.002676,0.002676,0.002676,0.002676,0.002676,0.002676,0.002676,0.002676,0.002676,0.002676
0.001917,0.001917,0.001917,0.001917,0.001917,0.029438,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.050917,0.058362,0.062823,0.066508,0.0697,0.0697,0.072662,0.076346,0.080042,0.083802,0.0845,0.0845,0.0845,0.0845,0.0845,0.0845,0.0845,0.0845,0.0845,0.0845,0.0845,0.0845,0.0845,0.0845,0.08281,0.073711,0.0724,0.0724,0.0724,0.0724,0.064518,0.055459,0.041178,0.006709,0.002462,0.002462,0.002462,0.002462,0.002462,0.002462,0.002462,0.002462,0.002462,0.002462,0.002462,0.002462,0.002462,0.002462,0.002462
0.001623,0.001623,0.001623,0.001623,0.001623,0.043622,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075991,0.084037,0.088922,0.092982,0.0965,0.0965,0.099764,0.103789,0.107785,0.111846,0.1126,0.1126,0.1126,0.1126,0.1126,0.1126,0.1126,0.1126,0.1126,0.1126,0.1126,0.1126,0.1126,0.1126,0.110351,0.098245,0.0965,0.0965,0.0965,0.0965,0.086012,0.073905,0.054661,0.008013,0.002265,0.002265,0.002265,0.002265,0.002265,0.002265,0.002265,0.002265,0.002265,0.002265,0.002265,0.002265,0.002265,0.002265,0.002265
0.001374,0.001374,0.001374,0.001374,0.001374,0.057824,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.100658,0.105997,0.109248,0.111955,0.1143,0.1143,0.116476,0.119147,0.12179,0.124497,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.1225,0.10904,0.1071,0.1071,0.1071,0.1071,0.095504,0.082079,0.06063,0.008506,0.002084,0.002084,0.002084,0.002084,0.002084,0.002084,0.002084,0.002084,0.002084,0.002084,0.002084,0.002084,0.002084,0.002084,0.002084
0.001163,0.001163,0.001163,0.001163,0.001163,0.072043,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.124731,0.122551,0.121265,0.120212,0.1193,0.1193,0.118454,0.117365,0.116248,0.115196,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.112709,0.100377,0.0986,0.0986,0.0986,0.0986,0.087851,0.075484,0.05579,0.007827,0.001917,0.001917,0.001917,0.001917,0.001917,0.001917,0.001917,0.001917,0.001917,0.001917,0.001917,0.001917,0.001917,0.001917,0.001917
0.000984,0.000984,0.000984,0.000984,0.000984,0.071967,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.12449,0.120355,0.117889,0.115824,0.114,0.114,0.112368,0.110338,0.108297,0.106191,0.1058,0.1058,0.1058,0.1058,0.1058,0.1058,0.1058,0.1058,0.1058,0.1058,0.1058,0.1058,0.1058,0.1058,0.103691,0.092336,0.0907,0.0907,0.0907,0.0907,0.080863,0.069509,0.051374,0.007206,0.001764,0.001764,0.001764,0.001764,0.001764,0.001764,0.001764,0.001764,0.001764,0.001704,0.001623,0.001623,0.001623,0.001623,0.001623
