time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-10-15T01:56:16.640Z,14.8732,121.8099,41.88,4.5,mb,,143,7.932,0.6,us,us1000heee,2018-12-21T22:27:05.040Z,"6km S of Panukulan, Philippines",earthquake,15.1,7.2,0.083,43,reviewed,us,us
2018-10-09T15:29:25.890Z,15.9955,120.2652,103.44,4.5,mb,,128,6.83,0.76,us,us1000hcsq,2018-12-21T21:15:53.040Z,"0km W of Quintong, Philippines",earthquake,11.9,8.8,0.113,23,reviewed,us,us
2018-10-06T00:38:14.280Z,13.6312,120.406,35,4.5,mb,,110,8.608,0.47,us,us1000hazn,2018-12-14T20:32:46.040Z,"19km ESE of Looc, Philippines",earthquake,13.5,2,0.108,25,reviewed,us,us
2018-08-31T14:40:27.470Z,13.5571,120.8426,116.3,5.5,mww,,34,8.641,0.92,us,us2000h5z6,2018-11-07T18:37:07.040Z,"9km NNE of Odala, Philippines",earthquake,8.1,3.8,0.039,63,reviewed,us,us
2018-08-30T15:48:23.880Z,13.6868,120.7609,127.11,4.6,mb,,46,8.104,0.7,us,us2000h5ep,2018-11-07T18:37:06.040Z,"12km WNW of Tingloy, Philippines",earthquake,10.4,8.3,0.073,59,reviewed,us,us
2018-08-13T01:37:55.380Z,13.5433,120.1548,35,5,mb,,89,8.471,0.62,us,us1000gbgk,2018-10-27T16:22:04.040Z,"22km SSW of Looc, Philippines",earthquake,11.8,2,0.091,38,reviewed,us,us
2018-08-04T21:06:50.390Z,13.7624,120.9876,203.11,4,mb,,120,8.038,0.54,us,us1000g5cl,2018-10-16T15:34:11.040Z,"3km SW of Bauan, Philippines",earthquake,14.4,12,0.13,16,reviewed,us,us
2018-08-04T04:54:11.290Z,13.5056,120.9476,196.7,4,mb,,131,8.62,0.58,us,us1000g5c3,2018-10-16T15:34:14.040Z,"0km NW of Puerto Galera, Philippines",earthquake,10.5,9.3,0.13,16,reviewed,us,us
2018-07-15T12:45:35.960Z,13.817,121.032,140.75,4.2,mb,,114,8.058,0.67,us,us2000g9mz,2018-10-02T16:40:45.040Z,"2km N of San Pascual, Philippines",earthquake,12.2,9.3,0.118,20,reviewed,us,us
2018-07-05T21:00:32.690Z,14.3824,121.9759,35,4.4,mb,,220,8.082,0.81,us,us2000g2bq,2018-09-27T14:03:46.040Z,"21km NNE of Perez, Philippines",earthquake,14,2,0.139,15,reviewed,us,us
2018-07-03T22:10:23.940Z,15.0887,120.2315,73,4.5,mb,,133,8.321,0.56,us,us2000g18y,2018-09-27T14:03:46.040Z,"8km NNE of Santa Fe, Philippines",earthquake,15.9,8.8,0.111,24,reviewed,us,us
2018-07-03T04:25:53.430Z,14.0197,120.6404,126,5.2,mww,,27,8.441,0.83,us,us2000fvfq,2019-04-22T15:33:39.733Z,"2km SSW of Lian, Philippines",earthquake,7.9,1.9,0.052,35,reviewed,us,us
2018-06-17T09:46:24.630Z,14.9212,119.7097,25,5.4,mww,,47,7.96,0.93,us,us1000etr8,2018-09-07T17:47:07.040Z,"39km W of San Nicolas, Philippines",earthquake,7.4,1.8,0.043,51,reviewed,us,us
2018-05-14T03:14:16.400Z,14.0195,120.6649,116.11,4.2,mb,,98,0.276,0.49,us,us1000e7xz,2018-08-15T19:46:49.040Z,"2km SE of Lian, Philippines",earthquake,13.7,6.4,0.115,21,reviewed,us,us
